CHEMISTRY,NAME,human_CL_mL_min_kg,rat_CL_mL_min_kg,dog_CL_mL_min_kg,monkey_CL_mL_min_kg,human_VDss_L_kg,rat_VDss_L_kg,dog_VDss_L_kg,monkey_VDss_L_kg,human_fup,rat_fup,dog_fup,monkey_fup,smiles_r,InChICode_standardised,molecular_weight_smiles_r
c1cccc(c12)O[C@H](C)CN[C@@H](C3CC3)C(=O)N(C)[C@H](C)C(=O)N[C@@H](C(=O)NCCC2)Cc4ccc(F)cc4,TZP-101,0.1,4.04,,8.8,0.1,0.45,,0.23,,0.13,0.15,0.17,CC1C(=O)NC(Cc2ccc(F)cc2)C(=O)NCCCc2ccccc2O[C@H](C)C[NH2+]C(C2CC2)C(=O)[NH+]1C,"InChI=1S/C30H39FN4O4/c1-19-18-33-27(23-12-13-23)30(38)35(3)20(2)28(36)34-25(17-21-10-14-24(31)15-11-21)29(37)32-16-6-8-22-7-4-5-9-26(22)39-19/h4-5,7,9-11,14-15,19-20,23,25,27,33H,6,8,12-13,16-18H2,1-3H3,(H,32,37)(H,34,36)/p+2/t19-,20?,25?,27?/m1/s1",540.31008685218
OCCN(S(=O)(=O)C)c(c(Cl)c(Cl)c1)c(c12)[nH]c(=O)c(=O)[nH]2,"UK-240,455",6.0,12.0,13.0,,0.8,0.4,0.8,,0.13,0.03,0.15,,CS(=O)(=O)N(CCO)c1c(Cl)c(Cl)cc2[n-]c(=O)c(=O)[n-]c12,"InChI=1S/C11H11Cl2N3O5S/c1-22(20,21)16(2-3-17)9-7(13)5(12)4-6-8(9)15-11(19)10(18)14-6/h4,17H,2-3H2,1H3,(H2,14,15,18,19)/p-2",364.96509390782
OC(=O)CCCCCCCCCCCCCCCCCCC,Valproic Acd,0.16,4.2,3.03,4.2,0.14,0.66,0.33,0.25,0.084,0.366,0.215,0.22,CCCCCCCCCCCCCCCCCCCC(=O)[O-],"InChI=1S/C20H40O2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20(21)22/h2-19H2,1H3,(H,21,22)/p-1",311.29555406791
C1CCCCC1(O)C(CN(C)C)c2ccc(OC)cc2,Venlafaxine,14.0,64.5,13.5,41.0,4.4,6.6,3.3,3.5,0.73,0.59,0.5932,0.708,COc1ccc(C(C[NH+](C)C)C2(O)CCCCC2)cc1,"InChI=1S/C17H27NO2/c1-18(2)13-16(17(19)11-5-4-6-12-17)14-7-9-15(20-3)10-8-14/h7-10,16,19H,4-6,11-13H2,1-3H3/p+1",278.21145555609
COc1ccc(cc1OC)C(C#N)(C(C)C)CCCN(C)CCc2cc(OC)c(OC)cc2,Verapamil,18.0,33.5,26.8,22.8,3.7,2.15,3.8,5.35,0.093,0.1045,0.2265,0.341,COc1ccc(CC[NH+](C)CCCC(C#N)(c2ccc(OC)c(OC)c2)C(C)C)cc1OC,"InChI=1S/C27H38N2O4/c1-20(2)27(19-28,22-10-12-24(31-5)26(18-22)33-7)14-8-15-29(3)16-13-21-9-11-23(30-4)25(17-21)32-6/h9-12,17-18,20H,8,13-16H2,1-7H3/p+1",455.29043414808996
OC12CC3CC(C2)(CC(C3)C1)NCC(=O)N4[C@H](C#N)CCC4,Vildagliptin,9.9,48.3,21.7,25.0,1.03,8.6,1.6,0.7,0.8851,0.92,0.97,0.9597,N#C[C@@H]1CCC[NH+]1C(=O)C[NH2+]C12CC3CC(CC(O)(C3)C1)C2,"InChI=1S/C17H25N3O2/c18-9-14-2-1-3-20(14)15(21)10-19-16-5-12-4-13(6-16)8-17(22,7-12)11-16/h12-14,19,22H,1-8,10-11H2/p+2/t12?,13?,14-,16?,17?/m0/s1",305.20922994418
c1ncnn1C[C@](O)(c(c(F)c2)ccc2F)[C@@H](C)c3ncncc3F,Voricozole,8.3,9.1,1.5,,2.2,1.78,0.88,,0.42,0.44,0.49,,CC(c1ncncc1F)[C@](O)(Cn1cncn1)c1ccc(F)cc1F,"InChI=1S/C16H14F3N5O/c1-10(15-14(19)5-20-7-22-15)16(25,6-24-9-21-8-23-24)12-3-2-11(17)4-13(12)18/h2-5,7-10,25H,6H2,1H3/t10?,16-/m1/s1",349.115044728
c1ccccc1NC(=O)CCCCCCC(=O)NO,Vorinostat,28.0,129.5,54.7,,0.5,1.6,0.6,,0.29,0.61,0.4581,,O=C(CCCCCCC(O)=NO)Nc1ccccc1,"InChI=1S/C14H20N2O3/c17-13(15-12-8-4-3-5-9-12)10-6-1-2-7-11-14(18)16-19/h3-5,8-9,19H,1-2,6-7,10-11H2,(H,15,17)(H,16,18)",264.1473925
c1cccc(c12)c(O)c(c(o2)=O)C(CC(=O)C)c3ccccc3,Warfarin,0.06,0.17,0.3,,0.13,0.24,0.28,,0.015,0.4045,,,CC(=O)CC(c1ccccc1)c1c([O-])c2ccccc2oc1=O,"InChI=1S/C19H16O4/c1-12(20)11-15(13-7-3-2-4-8-13)17-18(21)14-9-5-6-10-16(14)23-19(17)22/h2-10,15,21H,11H2,1H3/p-1",307.09758253991
OC[C@@H]1CC[C@@H](O1)n2ccc(N)nc2=O,Zalcitabine,5.6,11.2,,10.3,0.54,1.0,,0.98,,0.85,,,Nc1ccn([C@H]2CC[C@@H](CO)O2)c(=O)n1,"InChI=1S/C9H13N3O3/c10-7-3-4-12(9(14)11-7)8-2-1-6(5-13)15-8/h3-4,6,8,13H,1-2,5H2,(H2,10,11,14)/t6-,8+/m0/s1",211.095691276
O=C(C)N(CC)c1cccc(c1)-c(ccn2)n(c23)ncc3C#N,Zaleplon,16.0,20.7,,,1.3,1.72,,,0.4,,,,CCN(C(C)=O)c1cccc(-c2ccnc3c(C#N)cnn23)c1,"InChI=1S/C17H15N5O/c1-3-21(12(2)23)15-6-4-5-13(9-15)16-7-8-19-17-14(10-18)11-20-22(16)17/h4-9,11H,3H2,1-2H3",305.12766010000007
OC[C@@H](O)[C@@H](O)[C@H]1[C@H](NC(=O)C)[C@H](C=C(O1)C([O-])=O)[NH+]=C(N)N,Zamivir,1.6,31.7,,,0.23,0.8,,,0.86,,,,CC(=O)N[C@H]1[C@H]([C@H](O)[C@H](O)CO)OC(C(=O)[O-])=C[C@@H]1[NH+]=C(N)N,"InChI=1S/C12H20N4O7/c1-4(18)15-8-5(16-12(13)14)2-7(11(21)22)23-10(8)9(20)6(19)3-17/h2,5-6,8-10,17,19-20H,3H2,1H3,(H,15,18)(H,21,22)(H4,13,14,16)/t5-,6+,8+,9+,10+/m0/s1",332.1331989800001
[N-]=[N+]=N[C@H]1C[C@@H](O[C@@H]1CO)n2cc(C)c(=O)[nH]c2=O,Zidovudine,25.0,25.1,14.0,,1.8,0.86,1.0,,0.8,0.687,0.827,0.707,Cc1cn([C@H]2C[C@H](N=[N+]=[N-])[C@@H](CO)O2)c(=O)[n-]c1=O,"InChI=1S/C10H13N5O4/c1-5-3-15(10(18)12-9(5)17)8-2-6(13-14-11)7(4-16)19-8/h3,6-8,16H,2,4H2,1H3,(H,12,17,18)/p-1/t6-,7+,8+/m0/s1",266.08947744391
OP(=O)(O)C(O)(P(=O)(O)O)Cn1ccnc1,Zoledronic Acid,2.2,,4.13,,0.6,,0.28,,0.78,,,,O=P([O-])([O-])C(O)(Cn1ccnc1)P(=O)([O-])[O-],"InChI=1S/C5H10N2O7P2/c8-5(15(9,10)11,16(12,13)14)3-7-2-1-6-4-7/h1-2,4,8H,3H2,(H2,9,10,11)(H2,12,13,14)/p-4",267.96721811164
O=C1OC[C@@H](N1)Cc(cc2)cc(c23)c(c[nH]3)CCN(C)C,Zolmitriptan,6.7,29.4,,,1.8,3.53,,,0.75,,,,C[NH+](C)CCc1c[nH]c2ccc(C[C@H]3COC(=O)N3)cc12,"InChI=1S/C16H21N3O2/c1-19(2)6-5-12-9-17-15-4-3-11(8-14(12)15)7-13-10-21-16(20)18-13/h3-4,8-9,13,17H,5-7,10H2,1-2H3,(H,18,20)/p+1/t13-/m0/s1",288.17065336409
Cc1ccc(cc1)-c(n2)c(CC(=O)N(C)C)n(c23)cc(C)cc3,Zolpidem,4.3,48.7,,,0.54,1.05,,,0.08,0.17,,,Cc1ccc(-c2nc3ccc(C)cn3c2CC(=O)[NH+](C)C)cc1,"InChI=1S/C19H21N3O/c1-13-5-8-15(9-6-13)19-16(11-18(23)21(3)4)22-12-14(2)7-10-17(22)20-19/h5-10,12H,11H2,1-4H3/p+1",308.17573874409
